昆虫ID,分類群,大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族名_1,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,主要食草1,主要食草科1,観察タイプ1,利用部位1,利用ステージ1,出典1,食草備考1,主要食草2,主要食草科2,観察タイプ2,利用部位2,利用ステージ2,出典2,食草備考2,主要食草3,主要食草科3,観察タイプ3,利用部位3,利用ステージ3,出典3,食草備考3,主要食草4,主要食草科4,観察タイプ4,利用部位4,利用ステージ4,出典4,食草備考4,主要食草5,主要食草科5,観察タイプ5,利用部位5,利用ステージ5,出典5,食草備考5,主要食草6,主要食草科6,観察タイプ6,利用部位6,利用ステージ6,出典6,食草備考6,主要食草7,主要食草科7,観察タイプ7,利用部位7,利用ステージ7,出典7,食草備考7,主要食草8,主要食草科8,観察タイプ8,利用部位8,利用ステージ8,出典8,食草備考8,主要食草9,主要食草科9,観察タイプ9,利用部位9,利用ステージ9,出典9,食草備考9,主要食草10,主要食草科10,観察タイプ10,利用部位10,利用ステージ10,出典10,食草備考10,発生時期1,発生時期出典1,発生地域1,発生時期備考1,発生時期2,発生時期出典2,発生地域2,発生時期備考2,幼虫期1,幼虫期出典1,幼虫期備考1,追加食草有無,データソース,総合備考,亜族和名
M5459,蛾類,4205,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Ophiusa,,olista,,(Swinhoe),1893,,コヘリグロクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5460,蛾類,4206,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Ophiusa,,trapezium,,(Guenée),1852,,キバネヘリグロクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5461,蛾類,4207,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Ophisma,,gravata,,Guenée,1852,,キモンクチバ,キモンクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5462,蛾類,4208,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Achaea,,serva,,(Fabricius),1775,,オオシラホシアシブトクチバ,オオシラホシアシブトクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5463,蛾類,4209,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Achaea,,janata,,(Linnaeus),1758,,シラホシアシブトクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5464,蛾類,4210,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Parallelia,,stuposa,,(Fabricius),1794,,アシブトクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5465,蛾類,4211,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Parallelia,,mandschurica,,(Staudinger),1892,,タイリクアシブトクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5466,蛾類,4215,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Parallelia,,arctotaenia,,(Guenée),1852,,ホソオビアシブトクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5467,蛾類,4216,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Parallelia,,dulcis,,(Butler),1878,,ヒメアシブトクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5468,蛾類,4212,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Bastilla,,arcuata,,(Moore),1877,,オキナワアシブトクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5469,蛾類,4213,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Bastilla,,joviana,,(Stoll),1782,,ナタモンアシブトクチバ,ナタモンアシブトクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5470,蛾類,,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Bastilla,,vitiensis,,(Butler),1886,,ヒメナタモンアシブトクチバ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5471,蛾類,4214,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Bastilla,,maturata,,(Walker),1858,,ムラサキアシブトクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5472,蛾類,4217,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Bastilla,,fulvotaenia,,(Guenée),1852,,キオビアシブトクチバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5473,蛾類,,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Bastilla,,properata,,(Walker),1858,,シラクモアシブトクチバ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5474,蛾類,4218,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Pindara,,illibata,,(Fabricius),1775,,ツマムラサキクチバ,,,,,,,"Pindara illibata (Fabricius, 1775)",アカギ,トウダイグサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ヤマヒハツ,トウダイグサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ホルトノキ,ホルトノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,シマホルトノキ,ホルトノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5475,蛾類,,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Buzara,,onelia,,(Guenée),1852,,ババアシブトクチバ,,,,,,,Buzara onelia (Guenée, 1852),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5476,蛾類,,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Macaldenia,,palumba,,(Guenée),1852,,シロモンアシブトクチバ,,,,,,,Macaldenia palumba (Guenée, 1852),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5477,蛾類,4219,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Grammodes,,geometrica,,(Fabricius),1775,,ナカグロクチバ,,,,,,,"Grammodes geometrica (Fabricius, 1775)",イヌタデ,タデ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,エノキグサ,トウダイグサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ナンキンハゼ,トウダイグサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,コミカンソウ,トウダイグサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,オガサワラミカンソウ,トウダイグサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ブラジルコミカンソウ,トウダイグサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ヒメミソハギ,ミソハギ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ホソバヒメミソハギ,ミソハギ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,サルスベリ,ミソハギ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ザクロ,ザクロ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5478,蛾類,4220,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Chalciope,,mygdon,,(Cramer),1777,,スジボソサンカククチバ,,,,,,,"Chalciope mygdon (Cramer, 1777)",コミカンソウ,トウダイグサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,キダチコミカンソウ,トウダイグサ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5479,蛾類,4222,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Mocis,,undata,,(Fabricius),1775,,オオウンモンクチバ,,,,,,,"Mocis undata (Fabricius, 1775)",クズ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,フジ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ヌスビトハギ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ヤブマメ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,国外では; オヒシバ (イネ科); エニシダ (マメ科)が知られる,
M5480,蛾類,4223,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Mocis,,annetta,,(Butler),1878,,ウンモンクチバ,,,,,,,"Mocis annetta (Butler, 1878)",フジ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ハギ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ニセアカシア,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ヌスビトハギ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ヤブマメ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ツルマメ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,キツネササゲ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ダイズなど,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5481,蛾類,4224,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Mocis,,ancilla,,(Warren),1913,,ニセウンモンクチバ,,,,,,,"Mocis ancilla (Warren, 1913)",ヌスビトハギ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5482,蛾類,4225,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Mocis,,dolosa,,(Butler),1880,,ヒメウンモンクチバ,,,,,,,Mocis dolosa (Butler, 1880),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5483,蛾類,,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Mocis,,kagoshimaensis,,Kishida,2010,,ナガウンモンクチバ,,,,,,,Mocis kagoshimaensis Kishida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5484,蛾類,4226,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Mocis,,frugalis,,(Fabricius),1775,,ウスオビクチバ,,,,,,,"Mocis frugalis (Fabricius, 1775)",イネ科,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,その他の単子葉植物,
M5485,蛾類,4227,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Trigonodes,,hyppasia,,(Cramer),1779,,サンカククチバ,サンカククチバ,,,,,,"Trigonodes hyppasia (Cramer, 1779)",ヤハズソウ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,国外では; マメ科; イネ科; ムクロジ科が知られる,
M5486,蛾類,4238,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Thyas,,honesta,,Hübner,[1824],,シタベニコノハ,,,,,,,Thyas honesta Hübner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5487,蛾類,4239,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Thyas,,juno,,(Dalman),1823,,ムクゲコノハ,,,,,,,"Thyas juno (Dalman, 1823)",クヌギ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,コナラ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,クリ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,シリブカガシ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,オニグルミ,クルミ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,サワグルミ,クルミ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,カシグルミ,クルミ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5488,蛾類,4201,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Thyas,,coronata,,(Fabricius),1775,,キシタアシブトクチバ,,,,,,,"Thyas coronata (Fabricius, 1775)",モモタマナ,シクンシ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,; 国外では; シクンシ科; クスノキ科; キンポウゲ科; ムクロジ科; マツ科などが知られる,
M5489,蛾類,4240,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Artena,,dotata,,(Fabricius),1794,,ツキワクチバ,,,,,,,"Artena dotata (Fabricius, 1794)",アラカシ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,国外では; マテバシイ属 (ブナ科); シクンシ科が知られる,
M5490,蛾類,,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Pericyma,,cruegeri,,(Butler),1886,,ホウオウボククチバ,,,,,,,"Pericyma cruegeri (Butler, 1886)",ホウオウボク,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,国外では; パプアニューギニア島でコウエンポク (マメ科); タイではランブータン(ムクロジ科)に大食害を与えることが知られる,
M5491,蛾類,4294,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Oxyodes,,scrobiculatus,,(Fabricius),1775,,クロミミモンクチバ,,,,,,,Oxyodes scrobiculatus (Fabricius, 1775),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5492,蛾類,4308,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Blasticorhinus,,rivulosa,,(Walker),1865,,ゴマコウンモンクチバ,,,,,,,Blasticorhinus rivulosa (Walker, 1865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5493,蛾類,4309,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Ophiusini,クチバ族,,,Blasticorhinus,,unduligera,,(Butler),1878,,コウンモンクチバ,,,,,出版後の追加,名前変更,"Blasticorhinus ussuriensis (Bremer, 1861)",フジ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ナツフジ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ニセアカシア,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,ヌスビトハギ類,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,クヌギ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,スイバ,タデ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,広食性,
M5494,蛾類,4319,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Episparis,,okinawensis,,Sugi,1982,,カバフキリバ,,,,,,,Episparis okinawensis Sugi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5495,蛾類,4321,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Hyposemansis,,singha,,(Guenée),1852,,ウスズミクチバ,,,,,,,Hyposemansis singha Guenée,1852,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,カギカズラ,アカネ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5496,蛾類,,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Hyposemansis,,fujihirai,,Kishida,2010,,フジヒラウスグロクチバ,,,,,,,Hyposemansis fijihirai Kishida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5497,蛾類,,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Masca,,abactalis,,Walker,[1859],,ウラモンシロクチバ,,,,,,,Masca abactalis Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5498,蛾類,4324,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Mecodina,,subviolacea,,(Butler),1881,,ムラサキヒメクチバ,,,,,,,"Mecodina subviolacea (Butler, 1881)",テイカカズラ,キョウチクトウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5499,蛾類,4325,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Mecodina,,cineracea,,(Butler),1879,,カバフヒメクチバ,,,,,,,"Mecodina cineracea (Butler, 1879)",イヌビワ,クワ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,イチジク,クワ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5500,蛾類,4326,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Mecodina,,albodentata,,(Swinhoe),1895,,イナズマヒメクチバ,,,,,,,Mecodina albodentata (Swinhoe, 1895),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5501,蛾類,4327,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Mecodina,,kurosawai,,Sugi,1982,,オキナワマエモンヒメクチバ,,,,,,,"Mecodina kurosawai Sugi, 1982",リュウキュウテイカカズラ,キョウチクトウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5502,蛾類,4328,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Mecodina,,nubiferalis,,(Leech),1889,,シャクドウクチバ,,,,,,,"Mecodina nubiferalis (Leech, 1889)",テイカカズラ,キョウチクトウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5503,蛾類,4329,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Mecodina,,fasciata,,Sugi,1982,,フトオビシャクドウクチバ,,,,,,,Mecodina fasciata Sugi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5504,蛾類,,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Mecodina,,sugii,,Seino,2003,,アマミシャクドウクチバ,,,,,,,Mecodina sugii Seino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5505,蛾類,4330,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Mecodina,,praecipua,,(Walker),1865,,ヒゲナガヒメクチバ,,,,,,,Mecodina praecipua (Walker, 1865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5506,蛾類,,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Cultripalpa,,partita,,Guenée,1852,,ホソキバツマキリクチバ,,ホソキバツマキリアツバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5507,蛾類,,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Plecoptera,,violacea,,(Pagenstecher),1884,,ミナミハスオビクチバ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M5508,蛾類,,Noctuidae,ヤガ科,Catocalinae,シタバガ亜科,Anobini,シャクドウクチバ族,,,Plecoptera,,oculata,,(Moore),1882,,クロモンハスオビクチバ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
