record_id,insect_id,plant_name,plant_family,observation_type,plant_part,life_stage,reference,notes
175,species-0208,ハリギリ,ウコギ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
176,species-0208,クリ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
177,species-0209,アズキナシ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
178,species-0210,リョウブ,リョウブ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
179,species-0211,ハンノキ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
180,species-0213,クヌギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
181,species-0213,アベマキ,以上ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
182,species-0214,クヌギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
183,species-0214,アベマキ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
184,species-0214,カシワ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
185,species-0214,ミズナラ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
186,species-0214,コナラ,以上ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
187,species-0215,クヌギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
188,species-0215,カシワ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
189,species-0215,ミズナラ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
190,species-0215,コナラ,以上ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
191,species-0218,ノイバラ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
192,species-0218,テリハノイバラ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
193,species-0218,栽培バラ,以上バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
194,species-0219,ニガイチゴ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
195,species-0219,クマイチゴ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
196,species-0219,ナガバモミジイチゴ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
197,species-0219,バライチゴ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
198,species-0219,キンミズヒキ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
199,species-0219,ダイコンソウ,以上バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
200,species-0220,ヒサカキ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
201,species-0220,ハマヒサカキ,以上ツバキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
202,species-0221,ワレモコウ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
203,species-0223,粉状地衣類,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
204,species-0224,粉状地衣類,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
205,species-0225,地衣類,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
206,species-0226,粉状地衣類,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
208,species-0229,幼虫はツリガネタケ,多孔菌科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
209,species-0231,ヒトクチタケ,多孔菌科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
211,species-0232,サルノコシカケ類,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
212,species-0235,オオミダレアミタケ,多孔菌科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
213,species-0236,マンネンタケ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
214,species-0237,サルノコシカケ類,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
215,species-0238,シイタケ栽培の害虫。幼虫は梢木と子実体を食する,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
216,species-0243,シイタケ,キシメジ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
217,species-0250,サルノコシカケ類,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
218,species-0252,幼虫はシイタケ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
219,species-0252,貯蔵穀物,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
220,species-0252,コルクの害虫。野外ではサルノコシカケ類のキノコも食する。また,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
221,species-0252,ツツハナバチの集めた花粉団子も食する,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
222,species-0257,幼虫はツリガネタケのついているブナ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
223,species-0257,その表面で羽化殻が確認されている,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
224,species-0258,リョウメンシダの胞子を食する,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
225,species-0260,アリの巣の中で,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
226,species-0260,ケアリ属やアミメアリ属の幼虫を食する。また,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
